nc_id,nc_date,defect_code,defect_description,process,source,supplier_id,severity,qty_affected,cost_eur
NC-00309,2024-10-03,D11,Test fixture calibration overdue,Final test,internal,,Minor,12,650.11
NC-00310,2024-10-04,D11,Test fixture calibration overdue,Final test,internal,,Minor,21,184.15
NC-00311,2024-10-04,D06,Device history record incomplete,Documentation,internal,,Minor,18,31.02
NC-00312,2024-10-07,D05,Wrong or missing label,Packaging,internal,,Minor,19,86.76
NC-00313,2024-10-08,D01,Connector crimp defect,Assembly,supplier,S03,Minor,18,640.94
NC-00314,2024-10-08,D06,Device history record incomplete,Documentation,internal,,Minor,5,82.66
NC-00315,2024-10-08,D05,Wrong or missing label,Packaging,internal,,Minor,13,211.87
NC-00316,2024-10-09,D06,Device history record incomplete,Documentation,internal,,Minor,24,48.96
NC-00317,2024-10-09,D01,Connector crimp defect,Assembly,supplier,S04,Minor,9,1573.7
NC-00318,2024-10-10,D03,Solder joint defect,Electronics,internal,,Minor,18,272.07
NC-00319,2024-10-10,D01,Connector crimp defect,Assembly,supplier,S04,Minor,22,105.26
NC-00320,2024-10-10,D11,Test fixture calibration overdue,Final test,internal,,Major,19,400.21
NC-00321,2024-10-10,D03,Solder joint defect,Electronics,internal,,Critical,13,956.57
NC-00322,2024-10-10,D03,Solder joint defect,Electronics,internal,,Minor,19,354.7
NC-00323,2024-10-10,D01,Connector crimp defect,Assembly,supplier,S05,Minor,21,947.94
NC-00324,2024-10-11,D03,Solder joint defect,Electronics,internal,,Major,20,2003.43
NC-00325,2024-10-14,D03,Solder joint defect,Electronics,internal,,Minor,24,121.98
NC-00326,2024-10-14,D01,Connector crimp defect,Assembly,supplier,S12,Major,17,430.88
NC-00327,2024-10-14,D02,Dimensional out of tolerance,Machining,internal,,Minor,24,3368.16
NC-00328,2024-10-15,D03,Solder joint defect,Electronics,internal,,Major,23,1480.04
NC-00329,2024-10-15,D04,Seal leak at pressure test,Final test,internal,,Minor,19,444.68
NC-00330,2024-10-15,D03,Solder joint defect,Electronics,internal,,Major,6,997.61
NC-00331,2024-10-15,D05,Wrong or missing label,Packaging,internal,,Minor,9,110.54
NC-00332,2024-10-16,D08,Firmware version mismatch,Final test,internal,,Minor,7,379.65
NC-00333,2024-10-18,D09,Incoming material out of spec,Incoming inspection,supplier,S09,Major,3,2101.21
NC-00334,2024-10-18,D06,Device history record incomplete,Documentation,internal,,Minor,7,32.42
NC-00335,2024-10-21,D09,Incoming material out of spec,Incoming inspection,supplier,S06,Minor,23,356.96
NC-00336,2024-10-22,D02,Dimensional out of tolerance,Machining,internal,,Major,17,1847.13
NC-00337,2024-10-22,D07,Cosmetic scratch,Assembly,internal,,Minor,19,86.44
NC-00338,2024-10-22,D03,Solder joint defect,Electronics,internal,,Minor,1,572.75
NC-00339,2024-10-22,D05,Wrong or missing label,Packaging,internal,,Minor,9,108.78
NC-00340,2024-10-23,D01,Connector crimp defect,Assembly,supplier,S08,Major,21,1455.11
NC-00341,2024-10-23,D07,Cosmetic scratch,Assembly,internal,,Minor,23,71.5
NC-00342,2024-10-24,D04,Seal leak at pressure test,Final test,internal,,Minor,1,1336.18
NC-00343,2024-10-25,D02,Dimensional out of tolerance,Machining,internal,,Minor,1,1191.43
NC-00344,2024-10-25,D11,Test fixture calibration overdue,Final test,internal,,Major,16,1120.44
NC-00345,2024-10-25,D09,Incoming material out of spec,Incoming inspection,supplier,S08,Minor,1,308.94
NC-00346,2024-10-25,D07,Cosmetic scratch,Assembly,internal,,Minor,11,14.25
NC-00347,2024-10-28,D01,Connector crimp defect,Assembly,supplier,S12,Minor,18,497.58
NC-00348,2024-10-28,D10,Packaging damage in transit,Customer,customer,,Minor,10,202.65
NC-00349,2024-10-28,D04,Seal leak at pressure test,Final test,internal,,Minor,22,2503.31
NC-00350,2024-10-29,D02,Dimensional out of tolerance,Machining,internal,,Major,3,1888.04
NC-00351,2024-10-30,D05,Wrong or missing label,Packaging,internal,,Minor,6,61.3
NC-00352,2024-10-30,D06,Device history record incomplete,Documentation,internal,,Minor,3,111.41
NC-00353,2024-10-30,D02,Dimensional out of tolerance,Machining,internal,,Major,20,105.81
NC-00354,2024-10-30,D03,Solder joint defect,Electronics,internal,,Minor,18,592.96
NC-00355,2024-10-30,D11,Test fixture calibration overdue,Final test,internal,,Minor,21,155.25
NC-00356,2024-10-31,D05,Wrong or missing label,Packaging,internal,,Minor,18,220.96
NC-00357,2024-11-01,D02,Dimensional out of tolerance,Machining,internal,,Minor,23,421.87
NC-00358,2024-11-01,D04,Seal leak at pressure test,Final test,internal,,Minor,13,1799.09
NC-00359,2024-11-01,D06,Device history record incomplete,Documentation,internal,,Minor,5,155.34
NC-00360,2024-11-01,D06,Device history record incomplete,Documentation,internal,,Major,21,85.1
NC-00361,2024-11-01,D03,Solder joint defect,Electronics,internal,,Major,19,1813.11
NC-00362,2024-11-06,D10,Packaging damage in transit,Customer,customer,,Minor,17,162.52
NC-00363,2024-11-06,D02,Dimensional out of tolerance,Machining,internal,,Minor,24,1844.72
NC-00364,2024-11-12,D06,Device history record incomplete,Documentation,internal,,Minor,5,149.48
NC-00365,2024-11-12,D10,Packaging damage in transit,Customer,customer,,Minor,6,592.99
NC-00366,2024-11-12,D02,Dimensional out of tolerance,Machining,internal,,Minor,6,1340.45
NC-00367,2024-11-13,D03,Solder joint defect,Electronics,internal,,Critical,11,2980.31
NC-00368,2024-11-14,D03,Solder joint defect,Electronics,internal,,Minor,16,685.24
NC-00369,2024-11-14,D01,Connector crimp defect,Assembly,supplier,S11,Major,23,1008.41
NC-00370,2024-11-15,D04,Seal leak at pressure test,Final test,internal,,Minor,8,1268.26
NC-00371,2024-11-15,D05,Wrong or missing label,Packaging,internal,,Minor,13,48.43
NC-00372,2024-11-18,D05,Wrong or missing label,Packaging,internal,,Minor,22,127.87
NC-00373,2024-11-19,D02,Dimensional out of tolerance,Machining,internal,,Minor,23,2408.06
NC-00374,2024-11-19,D03,Solder joint defect,Electronics,internal,,Minor,2,206.95
NC-00375,2024-11-21,D05,Wrong or missing label,Packaging,internal,,Major,1,751.52
NC-00376,2024-11-21,D02,Dimensional out of tolerance,Machining,internal,,Minor,2,737.31
NC-00377,2024-11-21,D09,Incoming material out of spec,Incoming inspection,supplier,S04,Minor,11,671.28
NC-00378,2024-11-21,D06,Device history record incomplete,Documentation,internal,,Minor,5,108.7
NC-00379,2024-11-22,D01,Connector crimp defect,Assembly,supplier,S11,Minor,24,385.99
NC-00380,2024-11-22,D07,Cosmetic scratch,Assembly,internal,,Major,15,214.44
NC-00381,2024-11-22,D04,Seal leak at pressure test,Final test,internal,,Minor,22,432.04
NC-00382,2024-11-22,D02,Dimensional out of tolerance,Machining,internal,,Major,7,363.72
NC-00383,2024-11-27,D07,Cosmetic scratch,Assembly,internal,,Minor,12,234.25
NC-00384,2024-11-29,D02,Dimensional out of tolerance,Machining,internal,,Minor,5,688.73
NC-00385,2024-11-29,D03,Solder joint defect,Electronics,internal,,Minor,21,286.78
NC-00386,2024-12-02,D07,Cosmetic scratch,Assembly,internal,,Minor,22,21.55
NC-00387,2024-12-02,D03,Solder joint defect,Electronics,internal,,Major,17,1546.31
NC-00388,2024-12-03,D07,Cosmetic scratch,Assembly,internal,,Minor,10,89.54
NC-00389,2024-12-04,D01,Connector crimp defect,Assembly,supplier,S05,Minor,15,215.89
NC-00390,2024-12-06,D08,Firmware version mismatch,Final test,internal,,Major,10,976.83
NC-00391,2024-12-06,D02,Dimensional out of tolerance,Machining,internal,,Minor,24,220.82
NC-00392,2024-12-09,D03,Solder joint defect,Electronics,internal,,Minor,5,37.84
NC-00393,2024-12-09,D04,Seal leak at pressure test,Final test,internal,,Minor,6,935.73
NC-00394,2024-12-10,D06,Device history record incomplete,Documentation,internal,,Major,15,65.96
NC-00395,2024-12-10,D02,Dimensional out of tolerance,Machining,internal,,Minor,10,1431.66
NC-00396,2024-12-11,D02,Dimensional out of tolerance,Machining,internal,,Minor,20,676.08
NC-00397,2024-12-11,D07,Cosmetic scratch,Assembly,internal,,Minor,11,22.75
NC-00398,2024-12-11,D06,Device history record incomplete,Documentation,internal,,Major,3,345.39
NC-00399,2024-12-13,D06,Device history record incomplete,Documentation,internal,,Minor,23,161.38
NC-00400,2024-12-13,D01,Connector crimp defect,Assembly,supplier,S11,Minor,6,1564.05
NC-00401,2024-12-16,D01,Connector crimp defect,Assembly,supplier,S01,Minor,15,274.5
NC-00402,2024-12-16,D06,Device history record incomplete,Documentation,internal,,Minor,5,116.77
NC-00403,2024-12-18,D09,Incoming material out of spec,Incoming inspection,supplier,S04,Minor,3,902.54
NC-00404,2024-12-19,D09,Incoming material out of spec,Incoming inspection,supplier,S05,Minor,24,941.86
NC-00405,2024-12-20,D05,Wrong or missing label,Packaging,internal,,Minor,6,112.33
NC-00406,2024-12-23,D04,Seal leak at pressure test,Final test,internal,,Minor,21,346.06
NC-00407,2024-12-24,D08,Firmware version mismatch,Final test,internal,,Minor,24,180.3
NC-00408,2024-12-24,D04,Seal leak at pressure test,Final test,internal,,Minor,16,1745.3
NC-00409,2024-12-25,D05,Wrong or missing label,Packaging,internal,,Critical,11,1347.6
NC-00410,2024-12-25,D06,Device history record incomplete,Documentation,internal,,Minor,5,5.41
NC-00411,2024-12-26,D01,Connector crimp defect,Assembly,supplier,S07,Minor,17,966.53
NC-00412,2024-12-27,D10,Packaging damage in transit,Customer,customer,,Minor,19,332.2
NC-00413,2024-12-30,D01,Connector crimp defect,Assembly,supplier,S08,Minor,8,518.81
NC-00414,2025-01-01,D07,Cosmetic scratch,Assembly,internal,,Minor,8,160.79
NC-00415,2025-01-01,D03,Solder joint defect,Electronics,internal,,Minor,17,363.13
NC-00416,2025-01-03,D09,Incoming material out of spec,Incoming inspection,supplier,S07,Major,1,312.18
NC-00417,2025-01-03,D05,Wrong or missing label,Packaging,internal,,Minor,14,68.22
NC-00418,2025-01-03,D06,Device history record incomplete,Documentation,internal,,Minor,22,146.15
NC-00419,2025-01-07,D06,Device history record incomplete,Documentation,internal,,Minor,4,113.84
NC-00420,2025-01-08,D01,Connector crimp defect,Assembly,supplier,S02,Minor,3,2070.93
NC-00421,2025-01-08,D02,Dimensional out of tolerance,Machining,internal,,Major,16,3542.08
NC-00422,2025-01-09,D04,Seal leak at pressure test,Final test,internal,,Minor,24,2134.94
NC-00423,2025-01-09,D01,Connector crimp defect,Assembly,supplier,S12,Minor,19,750.35
NC-00424,2025-01-10,D03,Solder joint defect,Electronics,internal,,Major,6,1464.48
NC-00425,2025-01-10,D05,Wrong or missing label,Packaging,internal,,Minor,6,39.04
NC-00426,2025-01-10,D03,Solder joint defect,Electronics,internal,,Minor,12,609.4
NC-00427,2025-01-13,D02,Dimensional out of tolerance,Machining,internal,,Minor,17,93.54
NC-00428,2025-01-13,D07,Cosmetic scratch,Assembly,internal,,Minor,19,56.19
NC-00429,2025-01-14,D09,Incoming material out of spec,Incoming inspection,supplier,S05,Minor,1,410.5
NC-00430,2025-01-14,D10,Packaging damage in transit,Customer,customer,,Minor,8,35.96
NC-00431,2025-01-14,D02,Dimensional out of tolerance,Machining,internal,,Minor,7,233.52
NC-00432,2025-01-14,D07,Cosmetic scratch,Assembly,internal,,Minor,3,53.56
NC-00433,2025-01-15,D05,Wrong or missing label,Packaging,internal,,Minor,24,248.93
NC-00434,2025-01-16,D05,Wrong or missing label,Packaging,internal,,Minor,7,89.02
NC-00435,2025-01-17,D07,Cosmetic scratch,Assembly,internal,,Major,22,214.93
NC-00436,2025-01-17,D02,Dimensional out of tolerance,Machining,internal,,Minor,1,974.28
NC-00437,2025-01-17,D02,Dimensional out of tolerance,Machining,internal,,Major,22,1484.97
NC-00438,2025-01-21,D04,Seal leak at pressure test,Final test,internal,,Major,21,1347.9
NC-00439,2025-01-21,D01,Connector crimp defect,Assembly,supplier,S06,Minor,24,488.75
NC-00440,2025-01-21,D03,Solder joint defect,Electronics,internal,,Minor,7,455.85
NC-00441,2025-01-23,D11,Test fixture calibration overdue,Final test,internal,,Major,9,778.72
NC-00442,2025-01-23,D02,Dimensional out of tolerance,Machining,internal,,Major,13,1596.24
NC-00443,2025-01-24,D01,Connector crimp defect,Assembly,supplier,S06,Minor,1,338.25
NC-00444,2025-01-24,D04,Seal leak at pressure test,Final test,internal,,Minor,7,4225.58
NC-00445,2025-01-24,D06,Device history record incomplete,Documentation,internal,,Minor,22,107.72
NC-00446,2025-01-27,D09,Incoming material out of spec,Incoming inspection,supplier,S12,Minor,10,1703.22
NC-00447,2025-01-28,D02,Dimensional out of tolerance,Machining,internal,,Major,23,2326.92
NC-00448,2025-01-28,D03,Solder joint defect,Electronics,internal,,Critical,7,3554.04
NC-00449,2025-01-29,D07,Cosmetic scratch,Assembly,internal,,Major,15,314.7
NC-00450,2025-01-31,D01,Connector crimp defect,Assembly,supplier,S03,Minor,6,940.26
NC-00451,2025-01-31,D10,Packaging damage in transit,Customer,customer,,Minor,3,160.31
NC-00452,2025-02-03,D04,Seal leak at pressure test,Final test,internal,,Minor,6,1536.85
NC-00453,2025-02-03,D09,Incoming material out of spec,Incoming inspection,supplier,S10,Minor,7,417.8
NC-00454,2025-02-03,D02,Dimensional out of tolerance,Machining,internal,,Major,17,1845.06
NC-00455,2025-02-04,D06,Device history record incomplete,Documentation,internal,,Minor,10,78.58
NC-00456,2025-02-04,D07,Cosmetic scratch,Assembly,internal,,Major,24,52.33
NC-00457,2025-02-04,D04,Seal leak at pressure test,Final test,internal,,Minor,16,2135.64
NC-00458,2025-02-04,D05,Wrong or missing label,Packaging,internal,,Minor,22,115.17
NC-00459,2025-02-05,D02,Dimensional out of tolerance,Machining,internal,,Minor,18,514.34
NC-00460,2025-02-06,D09,Incoming material out of spec,Incoming inspection,supplier,S12,Minor,2,426.0
NC-00461,2025-02-06,D07,Cosmetic scratch,Assembly,internal,,Minor,5,112.78
NC-00462,2025-02-06,D09,Incoming material out of spec,Incoming inspection,supplier,S05,Minor,2,604.67
NC-00463,2025-02-07,D03,Solder joint defect,Electronics,internal,,Minor,18,403.92
NC-00464,2025-02-11,D05,Wrong or missing label,Packaging,internal,,Major,12,604.11
NC-00465,2025-02-11,D09,Incoming material out of spec,Incoming inspection,supplier,S12,Minor,1,1427.6
NC-00466,2025-02-11,D04,Seal leak at pressure test,Final test,internal,,Minor,7,1636.86
NC-00467,2025-02-11,D03,Solder joint defect,Electronics,internal,,Minor,12,404.77
NC-00468,2025-02-12,D07,Cosmetic scratch,Assembly,internal,,Major,7,29.44
NC-00469,2025-02-12,D03,Solder joint defect,Electronics,internal,,Major,10,2234.16
NC-00470,2025-02-13,D04,Seal leak at pressure test,Final test,internal,,Minor,7,1368.99
NC-00471,2025-02-13,D11,Test fixture calibration overdue,Final test,internal,,Minor,23,217.35
NC-00472,2025-02-14,D09,Incoming material out of spec,Incoming inspection,supplier,S04,Minor,6,123.91
NC-00473,2025-02-18,D02,Dimensional out of tolerance,Machining,internal,,Minor,12,448.24
NC-00474,2025-02-18,D07,Cosmetic scratch,Assembly,internal,,Minor,4,14.27
NC-00475,2025-02-20,D02,Dimensional out of tolerance,Machining,internal,,Major,18,238.86
NC-00476,2025-02-20,D03,Solder joint defect,Electronics,internal,,Minor,20,1192.28
NC-00477,2025-02-20,D08,Firmware version mismatch,Final test,internal,,Major,15,656.91
NC-00478,2025-02-20,D01,Connector crimp defect,Assembly,supplier,S08,Minor,21,474.86
NC-00479,2025-02-21,D06,Device history record incomplete,Documentation,internal,,Major,5,91.94
NC-00480,2025-02-21,D07,Cosmetic scratch,Assembly,internal,,Minor,4,21.03
NC-00481,2025-02-24,D09,Incoming material out of spec,Incoming inspection,supplier,S02,Minor,15,279.75
NC-00482,2025-02-24,D09,Incoming material out of spec,Incoming inspection,supplier,S11,Critical,21,2505.92
NC-00483,2025-02-24,D07,Cosmetic scratch,Assembly,internal,,Critical,24,273.11
NC-00484,2025-02-26,D05,Wrong or missing label,Packaging,internal,,Minor,24,132.44
NC-00485,2025-02-26,D05,Wrong or missing label,Packaging,internal,,Major,3,142.28
NC-00486,2025-02-26,D03,Solder joint defect,Electronics,internal,,Minor,17,518.27
NC-00487,2025-02-27,D06,Device history record incomplete,Documentation,internal,,Minor,17,79.13
NC-00488,2025-02-27,D02,Dimensional out of tolerance,Machining,internal,,Major,7,2588.66
NC-00489,2025-02-28,D10,Packaging damage in transit,Customer,customer,,Major,7,144.18
NC-00490,2025-02-28,D03,Solder joint defect,Electronics,internal,,Minor,23,600.78
NC-00491,2025-02-28,D07,Cosmetic scratch,Assembly,internal,,Minor,22,73.52
NC-00492,2025-02-28,D05,Wrong or missing label,Packaging,internal,,Major,5,316.08
NC-00493,2025-03-03,D01,Connector crimp defect,Assembly,supplier,S05,Major,19,2396.9
NC-00494,2025-03-03,D01,Connector crimp defect,Assembly,supplier,S12,Minor,8,1282.37
NC-00495,2025-03-04,D07,Cosmetic scratch,Assembly,internal,,Minor,17,117.85
NC-00496,2025-03-05,D01,Connector crimp defect,Assembly,supplier,S02,Critical,14,916.8
NC-00497,2025-03-05,D09,Incoming material out of spec,Incoming inspection,supplier,S03,Minor,15,1465.52
NC-00498,2025-03-05,D02,Dimensional out of tolerance,Machining,internal,,Minor,1,494.54
NC-00499,2025-03-07,D05,Wrong or missing label,Packaging,internal,,Minor,20,441.32
NC-00500,2025-03-07,D03,Solder joint defect,Electronics,internal,,Minor,21,1133.94
NC-00501,2025-03-10,D09,Incoming material out of spec,Incoming inspection,supplier,S12,Minor,3,843.78
NC-00502,2025-03-10,D10,Packaging damage in transit,Customer,customer,,Minor,10,573.55
NC-00503,2025-03-12,D06,Device history record incomplete,Documentation,internal,,Minor,12,64.05
NC-00504,2025-03-14,D03,Solder joint defect,Electronics,internal,,Minor,6,38.97
NC-00505,2025-03-17,D03,Solder joint defect,Electronics,internal,,Minor,13,337.36
NC-00506,2025-03-17,D07,Cosmetic scratch,Assembly,internal,,Minor,4,46.2
NC-00507,2025-03-17,D10,Packaging damage in transit,Customer,customer,,Minor,2,263.61
NC-00508,2025-03-18,D02,Dimensional out of tolerance,Machining,internal,,Major,8,2067.62
NC-00509,2025-03-18,D05,Wrong or missing label,Packaging,internal,,Minor,13,94.94
NC-00510,2025-03-19,D09,Incoming material out of spec,Incoming inspection,supplier,S09,Minor,6,876.27
NC-00511,2025-03-20,D10,Packaging damage in transit,Customer,customer,,Minor,11,271.75
NC-00512,2025-03-21,D01,Connector crimp defect,Assembly,supplier,S03,Minor,23,829.93
NC-00513,2025-03-24,D07,Cosmetic scratch,Assembly,internal,,Minor,22,60.87
NC-00514,2025-03-24,D10,Packaging damage in transit,Customer,customer,,Critical,4,741.34
NC-00515,2025-03-24,D02,Dimensional out of tolerance,Machining,internal,,Minor,9,454.19
NC-00516,2025-03-24,D06,Device history record incomplete,Documentation,internal,,Major,10,87.84
NC-00517,2025-03-25,D06,Device history record incomplete,Documentation,internal,,Minor,3,78.04
NC-00518,2025-03-26,D02,Dimensional out of tolerance,Machining,internal,,Minor,21,1499.86
NC-00519,2025-03-26,D06,Device history record incomplete,Documentation,internal,,Minor,11,156.03
NC-00520,2025-03-26,D06,Device history record incomplete,Documentation,internal,,Major,24,56.3
NC-00521,2025-03-27,D03,Solder joint defect,Electronics,internal,,Minor,3,40.69
NC-00522,2025-03-27,D03,Solder joint defect,Electronics,internal,,Minor,20,304.87
NC-00523,2025-03-28,D07,Cosmetic scratch,Assembly,internal,,Major,16,98.32
NC-00524,2025-03-28,D06,Device history record incomplete,Documentation,internal,,Major,24,148.75
NC-00525,2025-03-28,D11,Test fixture calibration overdue,Final test,internal,,Minor,24,318.95
NC-00526,2025-03-28,D04,Seal leak at pressure test,Final test,internal,,Minor,2,407.9
NC-00527,2025-03-31,D03,Solder joint defect,Electronics,internal,,Minor,12,222.87
NC-00528,2025-04-01,D03,Solder joint defect,Electronics,internal,,Minor,22,1829.99
NC-00529,2025-04-02,D03,Solder joint defect,Electronics,internal,,Minor,1,319.84
NC-00530,2025-04-02,D05,Wrong or missing label,Packaging,internal,,Minor,10,88.86
NC-00531,2025-04-03,D08,Firmware version mismatch,Final test,internal,,Minor,18,74.42
NC-00532,2025-04-03,D11,Test fixture calibration overdue,Final test,internal,,Major,10,134.1
NC-00533,2025-04-03,D07,Cosmetic scratch,Assembly,internal,,Minor,10,27.53
NC-00534,2025-04-07,D03,Solder joint defect,Electronics,internal,,Minor,14,254.26
NC-00535,2025-04-08,D01,Connector crimp defect,Assembly,supplier,S09,Major,9,638.5
NC-00536,2025-04-09,D01,Connector crimp defect,Assembly,supplier,S08,Minor,4,1123.41
NC-00537,2025-04-09,D03,Solder joint defect,Electronics,internal,,Minor,8,933.86
NC-00538,2025-04-10,D11,Test fixture calibration overdue,Final test,internal,,Minor,8,200.6
NC-00539,2025-04-15,D03,Solder joint defect,Electronics,internal,,Minor,7,450.56
NC-00540,2025-04-15,D10,Packaging damage in transit,Customer,customer,,Minor,11,49.9
NC-00541,2025-04-15,D03,Solder joint defect,Electronics,internal,,Minor,16,90.26
NC-00542,2025-04-15,D02,Dimensional out of tolerance,Machining,internal,,Major,10,4314.87
NC-00543,2025-04-16,D11,Test fixture calibration overdue,Final test,internal,,Minor,21,286.26
NC-00544,2025-04-16,D05,Wrong or missing label,Packaging,internal,,Minor,15,89.63
NC-00545,2025-04-17,D02,Dimensional out of tolerance,Machining,internal,,Minor,5,219.59
NC-00546,2025-04-18,D09,Incoming material out of spec,Incoming inspection,supplier,S05,Minor,10,182.29
NC-00547,2025-04-18,D07,Cosmetic scratch,Assembly,internal,,Minor,5,70.02
NC-00548,2025-04-18,D11,Test fixture calibration overdue,Final test,internal,,Minor,19,111.06
NC-00549,2025-04-18,D04,Seal leak at pressure test,Final test,internal,,Minor,1,2931.07
NC-00550,2025-04-21,D09,Incoming material out of spec,Incoming inspection,supplier,S09,Major,12,2215.49
NC-00551,2025-04-21,D03,Solder joint defect,Electronics,internal,,Minor,17,171.61
NC-00552,2025-04-23,D03,Solder joint defect,Electronics,internal,,Minor,9,291.76
NC-00553,2025-04-23,D02,Dimensional out of tolerance,Machining,internal,,Minor,21,983.74
NC-00554,2025-04-24,D04,Seal leak at pressure test,Final test,internal,,Minor,17,250.14
NC-00555,2025-04-24,D02,Dimensional out of tolerance,Machining,internal,,Minor,7,976.26
NC-00556,2025-04-25,D08,Firmware version mismatch,Final test,internal,,Minor,9,369.55
NC-00557,2025-04-25,D04,Seal leak at pressure test,Final test,internal,,Minor,7,3520.81
NC-00558,2025-04-28,D01,Connector crimp defect,Assembly,supplier,S08,Minor,21,1089.23
NC-00559,2025-04-28,D01,Connector crimp defect,Assembly,supplier,S12,Minor,14,912.46
NC-00560,2025-04-29,D01,Connector crimp defect,Assembly,supplier,S02,Minor,2,450.8
NC-00561,2025-04-30,D05,Wrong or missing label,Packaging,internal,,Minor,7,85.52
NC-00562,2025-04-30,D06,Device history record incomplete,Documentation,internal,,Minor,22,98.88
NC-00563,2025-05-02,D09,Incoming material out of spec,Incoming inspection,supplier,S06,Minor,7,1278.8
NC-00564,2025-05-05,D02,Dimensional out of tolerance,Machining,internal,,Minor,16,678.33
NC-00565,2025-05-09,D06,Device history record incomplete,Documentation,internal,,Major,16,186.53
NC-00566,2025-05-09,D05,Wrong or missing label,Packaging,internal,,Critical,15,336.04
NC-00567,2025-05-12,D01,Connector crimp defect,Assembly,supplier,S12,Major,23,2601.19
NC-00568,2025-05-14,D05,Wrong or missing label,Packaging,internal,,Minor,13,23.09
NC-00569,2025-05-15,D03,Solder joint defect,Electronics,internal,,Minor,1,451.36
NC-00570,2025-05-16,D02,Dimensional out of tolerance,Machining,internal,,Minor,3,102.69
NC-00571,2025-05-19,D01,Connector crimp defect,Assembly,supplier,S09,Major,1,4052.38
NC-00572,2025-05-19,D07,Cosmetic scratch,Assembly,internal,,Major,6,128.66
NC-00573,2025-05-20,D06,Device history record incomplete,Documentation,internal,,Major,6,149.26
NC-00574,2025-05-22,D07,Cosmetic scratch,Assembly,internal,,Major,3,100.67
NC-00575,2025-05-22,D07,Cosmetic scratch,Assembly,internal,,Minor,12,83.24
NC-00576,2025-05-23,D05,Wrong or missing label,Packaging,internal,,Minor,5,119.06
NC-00577,2025-05-23,D10,Packaging damage in transit,Customer,customer,,Major,15,1267.14
NC-00578,2025-05-26,D03,Solder joint defect,Electronics,internal,,Minor,3,566.65
NC-00579,2025-05-26,D02,Dimensional out of tolerance,Machining,internal,,Minor,14,226.72
NC-00580,2025-05-27,D05,Wrong or missing label,Packaging,internal,,Minor,22,87.98
NC-00581,2025-05-27,D08,Firmware version mismatch,Final test,internal,,Minor,17,111.11
NC-00582,2025-05-28,D07,Cosmetic scratch,Assembly,internal,,Minor,13,141.03
NC-00583,2025-05-28,D02,Dimensional out of tolerance,Machining,internal,,Major,12,3117.95
NC-00584,2025-05-29,D02,Dimensional out of tolerance,Machining,internal,,Minor,10,680.01
NC-00585,2025-05-29,D05,Wrong or missing label,Packaging,internal,,Major,20,299.43
NC-00586,2025-05-30,D02,Dimensional out of tolerance,Machining,internal,,Minor,15,1263.84
NC-00587,2025-05-30,D07,Cosmetic scratch,Assembly,internal,,Minor,7,60.89
NC-00588,2025-06-02,D05,Wrong or missing label,Packaging,internal,,Major,2,500.58
NC-00589,2025-06-02,D01,Connector crimp defect,Assembly,supplier,S07,Minor,20,1107.44
NC-00590,2025-06-03,D02,Dimensional out of tolerance,Machining,internal,,Minor,18,640.9
NC-00591,2025-06-03,D06,Device history record incomplete,Documentation,internal,,Minor,20,98.17
NC-00592,2025-06-03,D02,Dimensional out of tolerance,Machining,internal,,Minor,14,327.77
NC-00593,2025-06-04,D01,Connector crimp defect,Assembly,supplier,S06,Minor,5,374.52
NC-00594,2025-06-04,D11,Test fixture calibration overdue,Final test,internal,,Minor,22,168.9
NC-00595,2025-06-04,D01,Connector crimp defect,Assembly,supplier,S07,Minor,18,1170.72
NC-00596,2025-06-05,D01,Connector crimp defect,Assembly,supplier,S11,Minor,6,825.11
NC-00597,2025-06-05,D03,Solder joint defect,Electronics,internal,,Minor,17,494.34
NC-00598,2025-06-06,D04,Seal leak at pressure test,Final test,internal,,Minor,8,1019.18
NC-00599,2025-06-06,D03,Solder joint defect,Electronics,internal,,Major,20,812.89
NC-00600,2025-06-08,D01,Connector crimp defect,Assembly,supplier,S07,Major,18,4744.23
NC-00601,2025-06-09,D02,Dimensional out of tolerance,Machining,internal,,Minor,1,448.82
NC-00602,2025-06-09,D02,Dimensional out of tolerance,Machining,internal,,Major,21,1120.91
NC-00603,2025-06-09,D01,Connector crimp defect,Assembly,supplier,S07,Minor,18,1055.1
NC-00604,2025-06-09,D01,Connector crimp defect,Assembly,supplier,S07,Minor,16,1192.46
NC-00605,2025-06-10,D01,Connector crimp defect,Assembly,supplier,S07,Major,19,1413.41
NC-00606,2025-06-11,D03,Solder joint defect,Electronics,internal,,Major,11,376.5
NC-00607,2025-06-11,D01,Connector crimp defect,Assembly,supplier,S07,Major,1,1926.78
NC-00608,2025-06-11,D01,Connector crimp defect,Assembly,supplier,S07,Minor,9,109.51
NC-00609,2025-06-11,D01,Connector crimp defect,Assembly,supplier,S07,Major,20,5628.59
NC-00610,2025-06-11,D01,Connector crimp defect,Assembly,supplier,S07,Major,24,809.05
NC-00611,2025-06-13,D07,Cosmetic scratch,Assembly,internal,,Minor,7,72.85
NC-00612,2025-06-13,D05,Wrong or missing label,Packaging,internal,,Minor,14,190.76
NC-00613,2025-06-14,D01,Connector crimp defect,Assembly,supplier,S07,Minor,20,758.31
NC-00614,2025-06-14,D01,Connector crimp defect,Assembly,supplier,S07,Minor,7,137.7
NC-00615,2025-06-14,D01,Connector crimp defect,Assembly,supplier,S07,Critical,23,3697.24
